transit_score,transit_score_delta,filename,link_id
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_19310,19310
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_19375,19375
16969903496,17551866,/home/mwbc/ped-transit-data/networks/links/link_id_1941,1941
16952420536,68906,/home/mwbc/ped-transit-data/networks/links/link_id_19419,19419
16952353268,1638,/home/mwbc/ped-transit-data/networks/links/link_id_19588,19588
16952355220,3590,/home/mwbc/ped-transit-data/networks/links/link_id_19598,19598
16953482642,1131012,/home/mwbc/ped-transit-data/networks/links/link_id_1965,1965
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_19808,19808
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_19812,19812
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_19991,19991
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_20273,20273
16953581862,1230232,/home/mwbc/ped-transit-data/networks/links/link_id_20295,20295
16952361987,10357,/home/mwbc/ped-transit-data/networks/links/link_id_20398,20398
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_20465,20465
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_2058,2058
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_20583,20583
16952373858,22228,/home/mwbc/ped-transit-data/networks/links/link_id_20612,20612
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_20676,20676
16952603786,252156,/home/mwbc/ped-transit-data/networks/links/link_id_20708,20708
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_20718,20718
16952352101,471,/home/mwbc/ped-transit-data/networks/links/link_id_20721,20721
16954657094,2305464,/home/mwbc/ped-transit-data/networks/links/link_id_20774,20774
16952364208,12578,/home/mwbc/ped-transit-data/networks/links/link_id_20832,20832
16952459268,107638,/home/mwbc/ped-transit-data/networks/links/link_id_20848,20848
16953017132,665502,/home/mwbc/ped-transit-data/networks/links/link_id_20941,20941
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_2103,2103
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_21148,21148
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_21207,21207
16954267466,1915836,/home/mwbc/ped-transit-data/networks/links/link_id_21429,21429
16953127123,775493,/home/mwbc/ped-transit-data/networks/links/link_id_21565,21565
16954024550,1672920,/home/mwbc/ped-transit-data/networks/links/link_id_21640,21640
16956806134,4454504,/home/mwbc/ped-transit-data/networks/links/link_id_21663,21663
16952343215,-8415,/home/mwbc/ped-transit-data/networks/links/link_id_21914,21914
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_22079,22079
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_22113,22113
16952367086,15456,/home/mwbc/ped-transit-data/networks/links/link_id_22408,22408
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_22496,22496
16968634672,16283042,/home/mwbc/ped-transit-data/networks/links/link_id_22497,22497
16954041036,1689406,/home/mwbc/ped-transit-data/networks/links/link_id_22572,22572
16953364064,1012434,/home/mwbc/ped-transit-data/networks/links/link_id_22604,22604
16952887539,535909,/home/mwbc/ped-transit-data/networks/links/link_id_2270,2270
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_22707,22707
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_22743,22743
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_22753,22753
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_2278,2278
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_22861,22861
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_22961,22961
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_22973,22973
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_23108,23108
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_23219,23219
16952491717,140087,/home/mwbc/ped-transit-data/networks/links/link_id_23244,23244
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_23261,23261
16958005260,5653630,/home/mwbc/ped-transit-data/networks/links/link_id_23415,23415
16953149508,797878,/home/mwbc/ped-transit-data/networks/links/link_id_23471,23471
16952507169,155539,/home/mwbc/ped-transit-data/networks/links/link_id_23660,23660
16955061122,2709492,/home/mwbc/ped-transit-data/networks/links/link_id_23777,23777
16960896162,8544532,/home/mwbc/ped-transit-data/networks/links/link_id_23827,23827
16953524251,1172621,/home/mwbc/ped-transit-data/networks/links/link_id_23831,23831
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_23866,23866
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_24047,24047
16954641856,2290226,/home/mwbc/ped-transit-data/networks/links/link_id_2409,2409
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_2413,2413
16957104289,4752659,/home/mwbc/ped-transit-data/networks/links/link_id_2414,2414
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_24297,24297
16962040604,9688974,/home/mwbc/ped-transit-data/networks/links/link_id_24327,24327
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_24390,24390
16970970857,18619227,/home/mwbc/ped-transit-data/networks/links/link_id_24412,24412
16952557355,205725,/home/mwbc/ped-transit-data/networks/links/link_id_24439,24439
16953851949,1500319,/home/mwbc/ped-transit-data/networks/links/link_id_2451,2451
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_24593,24593
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_24797,24797
16952389765,38135,/home/mwbc/ped-transit-data/networks/links/link_id_24860,24860
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_24931,24931
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_2502,2502
16952370789,19159,/home/mwbc/ped-transit-data/networks/links/link_id_25027,25027
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_25034,25034
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_2504,2504
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_25096,25096
16954258788,1907158,/home/mwbc/ped-transit-data/networks/links/link_id_25209,25209
16953612354,1260724,/home/mwbc/ped-transit-data/networks/links/link_id_25257,25257
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_25386,25386
